respondent_id,region,area,sex,age,ethnicity,disability,education,employed,monthly_income_mdl
1,South,rural,Male,55,Moldovan,No,Tertiary,0,
2,Chișinău,urban,Female,52,Moldovan,No,Tertiary,1,17160
3,Chișinău,urban,Male,39,Moldovan,No,Tertiary,1,16700
4,North,rural,Female,48,Romanian,No,Tertiary,1,10780
5,Chișinău,urban,Female,30,Moldovan,No,Secondary,0,
6,North,Urban,Male,43,Moldovan,No,Vocational,1,8460
7,South,urban,Male,37,Moldovan,No,Vocational,1,5800
8,North,urban,Male,44,Moldovan,No,Vocational,1,7290
9,Chișinău,urban,Male,26,Moldovan,No,Secondary,1,10020
10,South, urban,Female,48,Moldovan,No,Primary,0,
11,North,rural,Female,48,Moldovan,No,Secondary,1,5180
12,North,rural,Female,28,Gagauz,No,Vocational,0,
13,South,urban,Female,39,Moldovan,No,Tertiary,1,9890
14,Centre,Rural,Male,43,Moldovan,No,Secondary,1,6090
15,Chișinău,urban,Female,61,Moldovan,No,Secondary,0,
16,Chișinău,Urban,Male,22,Moldovan,No,Primary,1,9090
17,Chișinău,urban,Female,47,Moldovan,No,Secondary,1,8450
18,North, rural,Male,44,Moldovan,No,Vocational,1,7190
19,Centre,urban,Female,35,Moldovan,No,Primary,1,3640
20,South,rural,Male,47,Moldovan,No,Secondary,1,4950
21,North,urban,Male,64,Russian,No,Tertiary,1,12680
22,Centre,rural,Female,63,Moldovan,No,Tertiary,1,14460
23,Chișinău,urban,Male,26,Moldovan,No,Vocational,1,12490
24,Chișinău,urban,Female,51,Moldovan,No,Secondary,1,7420
25,South,urban,Male,42,Moldovan,No,Tertiary,1,13800
26,Centre,urban,Female,32,Moldovan,No,Vocational,1,7380
27,North,urban,Male,30,Ukrainian,No,Secondary,1,9840
28,South,urban,Female,39,Moldovan,No,Tertiary,1,6850
29,Centre,urban,Female,70,Moldovan,No,Vocational,1,5180
30,Centre,rural,Male,28,Moldovan,No,Tertiary,1,10230
31,Chișinău,rural,Female,45,Moldovan,No,Vocational,1,10670
32,Centre,urban,Male,46,Moldovan,No,Secondary,1,8240
33,Chișinău,urban,Male,26,Ukrainian,No,Primary,1,10580
34,South,urban,Male,45,Moldovan,No,Vocational,1,7720
35,South,urban,Female,44,Moldovan,No,Secondary,1,8700
36,North,rural,Female,41,Moldovan,No,Secondary,0,
37,North,rural,Male,66,Moldovan,No,Tertiary,0,
38,North,urban,Female,52,Russian,No,Secondary,1,10220
39,Chișinău,urban,Female,25,Ukrainian,No,Vocational,0,
40,UTA Găgăuzia,rural,Male,32,Moldovan,No,Secondary,1,2820
41,Centre,urban,Male,64,Moldovan,No,Tertiary,1,
42,Centre,rural,Male,53,Moldovan,No,Tertiary,1,8340
43,North,rural,Female,55,Moldovan,No,Secondary,0,
44,UTA Găgăuzia,urban,Female,42,Roma,No,Vocational,1,6800
45,Centre,rural,Male,35,Moldovan,No,Secondary,1,4160
46,North,rural,Male,45,Moldovan,No,Tertiary,1,11700
47,Chișinău,urban,Male,43,Moldovan,Yes,Tertiary,1,17530
48,South,rural,Male,49,Moldovan,Yes,Primary,0,
49,South,rural,Male,32,Ukrainian,No,Tertiary,1,13040
50,Chișinău,urban,Female,40,Romanian,No,Vocational,1,7620
51,Chișinău,urban,Male,66,Moldovan,No,Primary,1,8020
52,Centre,rural,Female,34,Roma,No,Secondary,0,
53,Centre,rural,Male,37,Moldovan,No,Vocational,0,
54,Chișinău,urban,Female,69,Moldovan,No,Secondary,1,7490
55,Centre,urban,Female,30,Moldovan,No,Vocational,1,6630
56,North,rural,Male,46,Moldovan,No,Vocational,1,6640
57,Centre,rural,Male,70,Moldovan,No,Vocational,0,
58,Centre,urban,Male,48,Ukrainian,No,Secondary,1,9830
59,Chișinău,urban,Female,37,Moldovan,Yes,Vocational,0,
60,South,rural,Female,31,Moldovan,No,Secondary,0,
61,South,rural,Male,20,Moldovan,Yes,Vocational,1,7170
62,Chișinău,urban,Male,64,Moldovan,No,Tertiary,1,27300
63,North,rural,Male,45,Moldovan,No,Secondary,0,
64,Chișinău,urban,Female,34,Moldovan,Yes,Secondary,1,7530
65,Centre,urban,Male,39,Moldovan,No,Secondary,1,8240
66,North,urban,Male,40,Gagauz,No,Vocational,1,5690
67,North,urban,Male,31,Moldovan,Yes,Secondary,0,
68,North,rural,Male,41,Moldovan,No,Vocational,0,
69,Centre,urban,Male,47,Romanian,No,Tertiary,1,15490
70,Centre, rural,Male,45,Bulgarian,No,Tertiary,0,
71,Centre,rural,Female,24,Romanian,No,Secondary,1,3490
72,North,urban,Female,33,Ukrainian,No,Tertiary,1,6000
73,Chișinău,urban,Male,22,Romanian,No,Tertiary,1,20710
74,Chișinău,urban,Male,42,Moldovan,Yes,Vocational,1,11660
75,Centre,rural,Male,64,Russian,No,Secondary,1,6130
76,South,rural,Female,49,Moldovan,No,Tertiary,1,7010
77,Chișinău,urban,Male,24,Moldovan,No,Secondary,1,10760
78,North,rural,Female,46,Moldovan,No,Vocational,1,3820
79,Centre,urban,Female,40,Moldovan,No,Secondary,1,3030
80,Centre,urban,Female,23,Moldovan,No,Secondary,1,6990
81,South,urban,Female,50,Roma,No,Vocational,0,
82,South,rural,Male,62,Moldovan,No,Tertiary,1,11970
83,UTA Găgăuzia,rural,Female,18,Moldovan,No,Secondary,1,4190
84,Chișinău, urban,Female,28,Moldovan,No,Secondary,1,9450
85,Chișinău,urban,Female,39,Moldovan,No,Secondary,0,
86,South,rural,Female,18,Moldovan,No,Vocational,1,6780
87,Chișinău,urban,Male,42,Moldovan,No,Secondary,1,14040
88,Chișinău,urban,Male,56,Moldovan,No,Vocational,1,16970
89,Centre,rural,Male,29,Moldovan,No,Tertiary,1,17520
90,North,urban,Female,50,Moldovan,No,Secondary,1,7200
91,Chișinău,urban,Female,34,Romanian,No,Vocational,1,12390
92,Centre,rural,Female,26,Moldovan,No,Secondary,1,5350
93,UTA Găgăuzia,urban,Female,45,Russian,No,Vocational,1,4890
94,Centre,rural,Male,18,Moldovan,No,Vocational,0,
95,North,urban,Male,46,Moldovan,No,Vocational,1,5860
96,North,Urban,Female,33,Moldovan,No,Secondary,0,
97,North,urban,Female,26,Moldovan,No,Secondary,0,
98,Chișinău,urban,Male,42,Moldovan,No,Secondary,0,
99,South,urban,Female,36,Russian,No,Tertiary,1,14940
100,Chișinău,urban,Female,66,Russian,No,Secondary,0,
101,Centre,rural,Male,36,Moldovan,No,Secondary,1,6540
102,Chișinău,urban,Female,51,Moldovan,No,Primary,0,
103,North,rural,Female,36,Moldovan,Yes,Secondary,0,
104,UTA Găgăuzia,urban,Female,18,Moldovan,No,Secondary,0,
105,South,urban,Male,25,Moldovan,No,Secondary,1,3170
106,South,urban,Male,36,Moldovan,No,Secondary,1,5020
107,North,rural,Female,43,Romanian,No,Secondary,1,5220
108,Chișinău,urban,Male,31,Moldovan,No,Secondary,1,15620
109,South,rural,Male,61,Moldovan,No,Secondary,0,
110,South,urban,Female,39,Moldovan,No,Secondary,1,6080
111,North,urban,Female,50,Moldovan,Yes,Secondary,1,6390
112,North,urban,Female,46,Moldovan,No,Secondary,0,
113,Centre,urban,Female,48,Moldovan,No,Primary,0,
114,Centre,urban,Male,64,Gagauz,No,Secondary,1,4440
115,North,rural,Female,42,Moldovan,No,Vocational,0,
116,North,urban,Female,36,Moldovan,No,Secondary,1,6420
117,Centre,urban,Female,22,Russian,No,Vocational,1,6410
118,North,urban,Female,60,Moldovan,No,Vocational,1,7230
119,North,urban,Female,36,Moldovan,No,Secondary,0,
120,Centre,urban,Female,24,Moldovan,No,Vocational,1,5410
121,Chișinău,urban,Female,50,Moldovan,No,Tertiary,1,8580
122,UTA Găgăuzia,urban,Female,41,Moldovan,No,Tertiary,1,9540
123,North,urban,Male,34,Gagauz,No,Tertiary,1,12510
124,Centre,rural,Female,34,Gagauz,No,Tertiary,0,
125,Centre,urban,Female,22,Moldovan,No,Vocational,1,8150
126,North,rural,Male,57,Moldovan,No,Primary,0,
127,South,rural,Male,26,Moldovan,No,Tertiary,1,13270
128,Centre,urban,Male,45,Moldovan,No,Tertiary,0,
129,Centre,rural,Male,51,Moldovan,No,Vocational,1,7930
130,UTA Găgăuzia,urban,Female,64,Romanian,No,Tertiary,1,10380
131,Chișinău,urban,Female,51,Ukrainian,No,Tertiary,1,23010
132,South,urban,Male,43,Russian,No,Primary,1,3640
133,Chișinău,rural,Female,38,Moldovan,No,Vocational,1,9030
134,South,urban,Male,32,Moldovan,No,Secondary,1,6450
135,Centre,urban,Female,18,Moldovan,No,Secondary,1,7100
136,Chișinău,urban,Male,44,Roma,No,Secondary,1,6990
137,South,urban,Male,22,Moldovan,No,Vocational,1,5610
138,Centre,urban,Male,36,Moldovan,No,Vocational,1,6480
139,Centre,urban,Male,44,Moldovan,No,Vocational,1,6850
140,Chișinău,rural,Female,37,Moldovan,No,Secondary,1,11070
141,UTA Găgăuzia,rural,Female,69,Moldovan,No,Vocational,1,3590
142,North,rural,Female,32,Moldovan,Yes,Secondary,0,
143,North,urban,Female,39,Gagauz,No,Primary,1,2080
144,Chișinău,urban,Male,60,Moldovan,Yes,Tertiary,1,22600
145,UTA Găgăuzia,urban,Male,34,Roma,No,Secondary,0,
146,North,rural,Male,42,Moldovan,No,Secondary,0,
147,Centre,rural,Female,56,Moldovan,No,Tertiary,1,5770
148,North,urban,Female,46,Moldovan,No,Secondary,1,9800
149,Chișinău,urban,Female,53,Moldovan,No,Vocational,0,
150,UTA Găgăuzia,urban,Male,63,Bulgarian,No,Secondary,0,
151,Chișinău,rural,Male,47,Moldovan,No,Vocational,1,14380
152,Chișinău,urban,Female,41,Moldovan,No,Vocational,1,9840
153,North,urban,Male,19,Russian,No,Secondary,0,
154,North, rural,Male,52,Moldovan,No,Tertiary,1,4730
155,North,rural,Male,32,Moldovan,No,Secondary,1,7010
156,North,urban,Female,34,Moldovan,Yes,Vocational,0,
157,Centre,rural,Female,52,Moldovan,No,Primary,0,
158,South,urban,Female,51,Russian,No,Vocational,1,7170
159,Centre,urban,Male,46,Moldovan,No,Secondary,1,8660
160,South,rural,Female,68,Moldovan,No,Vocational,0,
161,North,rural,Female,18,Moldovan,No,Secondary,0,
162,Chișinău,urban,Male,20,Roma,No,Tertiary,1,12250
163,Centre,urban,Male,62,Moldovan,No,Secondary,1,4530
164,North, rural,Female,46,Moldovan,No,Tertiary,1,9840
165,Chișinău,urban,Female,39,Gagauz,No,Tertiary,1,12870
166,Chișinău,urban,Male,45,Moldovan,No,Vocational,0,
167,Centre,urban,Male,61,Moldovan,No,Secondary,0,
168,North,urban,Male,47,Moldovan,No,Vocational,1,10740
169,Centre,rural,Male,28,Moldovan,No,Secondary,1,5760
170,UTA Găgăuzia,urban,Female,32,Moldovan,No,Vocational,1,6410
171,UTA Găgăuzia,urban,Male,33,Moldovan,No,Tertiary,1,14950
172,Centre,urban,Male,66,Moldovan,No,Vocational,1,9750
173,South,urban,Male,22,Moldovan,No,Vocational,1,7370
174,Centre,urban,Female,70,Bulgarian,No,Secondary,1,6550
175,South,urban,Male,30,Moldovan,No,Secondary,1,5380
176,Chișinău,urban,Male,37,Moldovan,No,Tertiary,1,13240
177,South,rural,Female,46,Moldovan,No,Secondary,0,
178,North,rural,Female,49,Moldovan,No,Secondary,0,
179,UTA Găgăuzia,urban,Male,18,Roma,No,Vocational,0,
180,South,urban,Female,39,Moldovan,No,Secondary,1,7060
181,South, rural,Female,52,Ukrainian,No,Tertiary,0,
182,North,rural,Female,61,Gagauz,No,Secondary,0,
183,Chișinău,urban,Female,33,Moldovan,No,Tertiary,1,19210
184,South,rural,Male,43,Moldovan,No,Tertiary,1,6620
185,North, rural,Female,42,Romanian,No,Vocational,0,
186,Chișinău,rural,Male,18,Moldovan,No,Secondary,0,
187,Chișinău,urban,Male,18,Moldovan,No,Secondary,1,7610
188,Centre,urban,Male,48,Moldovan,No,Tertiary,1,11890
189,Chișinău,urban,Female,37,Moldovan,No,Secondary,0,
190,South,rural,Female,41,Moldovan,No,Tertiary,1,4680
191,North,rural,Female,42,Romanian,No,Secondary,0,
192,South,rural,Female,57,Moldovan,No,Vocational,1,5920
193,UTA Găgăuzia,urban,Female,42,Moldovan,No,Vocational,0,
194,North,rural,Female,42,Moldovan,No,Vocational,0,
195,South, rural,Male,36,Moldovan,No,Secondary,0,
196,Centre,urban,Male,26,Moldovan,No,Secondary,1,7880
197,South,rural,Male,40,Roma,No,Tertiary,0,
198,North,urban,Male,31,Moldovan,No,Secondary,1,10110
199,Chișinău,urban,Male,45,Moldovan,Yes,Tertiary,0,
200,North,urban,Male,44,Moldovan,No,Vocational,1,5100
201,Chișinău,urban,Male,43,Romanian,No,Vocational,1,14770
202,Chișinău,urban,Male,18,Moldovan,No,Secondary,0,
203,UTA Găgăuzia,rural,Female,23,Moldovan,Yes,Secondary,0,
204,Chișinău,URBAN,Male,34,Romanian,No,Vocational,1,12930
205,Centre,Rural,Female,22,Moldovan,No,Tertiary,1,13500
206,South,rural,Male,31,Moldovan,No,Vocational,1,5240
207,South,rural,Male,57,Moldovan,No,Vocational,1,6640
208,Centre,urban,Male,27,Moldovan,Yes,Secondary,1,5720
209,Centre,rural,Male,35,Romanian,No,Secondary,1,7430
210,North,urban,Male,62,Moldovan,No,Secondary,0,
211,North,urban,Male,19,Moldovan,No,Secondary,1,7740
212,Centre,urban,Female,37,Moldovan,No,Tertiary,1,11480
213,Centre,rural,Male,18,Gagauz,No,Secondary,0,
214,UTA Găgăuzia,rural,Female,41,Moldovan,No,Vocational,0,
215,Centre,urban,Male,52,Moldovan,No,Vocational,1,10900
216,UTA Găgăuzia,urban,Male,52,Moldovan,No,Secondary,1,6230
217,Centre,rural,Male,29,Moldovan,No,Secondary,0,
218,North,rural,Male,26,Moldovan,No,Secondary,0,
219,North,rural,Female,32,Moldovan,No,Tertiary,1,10390
220,North,rural,Male,46,Moldovan,No,Secondary,1,6740
221,Chișinău,urban,Male,25,Bulgarian,No,Secondary,1,15150
222,Chișinău,rural,Female,35,Moldovan,No,Secondary,0,
223,South,urban,Male,56,Moldovan,No,Vocational,1,6280
224,North,rural,Female,26,Gagauz,No,Secondary,1,5540
225,UTA Găgăuzia,rural,Male,35,Gagauz,No,Tertiary,1,3390
226,Centre,urban,Female,56,Moldovan,Yes,Vocational,0,
227,South,urban,Female,25,Bulgarian,No,Vocational,1,3460
228,North,urban,Male,23,Russian,No,Secondary,1,5840
229,UTA Găgăuzia,RURAL,Male,18,Moldovan,No,Primary,1,3090
230,North,urban,Female,18,Ukrainian,No,Vocational,1,4880
231,Centre,rural,Male,33,Moldovan,No,Secondary,1,6960
232,Chișinău,urban,Female,38,Moldovan,No,Primary,1,8670
233,Chișinău,rural,Female,48,Moldovan,No,Tertiary,1,10930
234,Chișinău,urban,Female,30,Moldovan,No,Tertiary,1,20280
235,Centre,rural,Male,40,Gagauz,Yes,Tertiary,1,10560
236,Chișinău,urban,Male,40,Moldovan,No,Tertiary,1,30310
237,North,rural,Female,64,Moldovan,No,Secondary,0,
238,UTA Găgăuzia,urban,Male,43,Moldovan,No,Tertiary,1,4780
239,North,urban,Male,35,Moldovan,No,Primary,1,4640
